year;month;day;hora;marginalPT;marginalES;
2018;01;09;22;69.46;69.46;
2018;01;09;23;67.27;67.27;
2018;01;09;24;62.31;62.31;
2018;01;10;1;61.58;61.58;
2018;01;10;2;51;51;
2018;01;10;3;49;49;
2018;01;10;4;47.29;47.29;
2018;01;10;5;47.09;47.09;
2018;01;10;6;46.99;46.99;
2018;01;10;7;50.06;50.06;
2018;01;10;8;61.58;61.58;
2018;01;10;9;66.97;66.97;
2018;01;10;10;67.45;67.45;
2018;01;10;11;65.73;65.73;
2018;01;10;12;58.68;58.68;
2018;01;10;13;58.01;58.01;
2018;01;10;14;49.54;49.54;
2018;01;10;15;47.1;47.1;
2018;01;10;16;47.98;47.98;
2018;01;10;17;48.9;48.9;
2018;01;10;18;51.9;51.9;
2018;01;10;19;52.69;52.69;
2018;01;10;20;55.13;55.13;
2018;01;10;21;60.3;60.3;
2018;01;10;22;58.05;58.05;
2018;01;10;23;46.84;46.84;
2018;01;10;24;44.22;44.22;
2018;01;11;1;39.43;38.37;
2018;01;11;2;37;36.3;
2018;01;11;3;34.2;34.2;
2018;01;11;4;33;33;
2018;01;11;5;33.05;33.05;
2018;01;11;6;37.09;37.09;
2018;01;11;7;41.5;41.5;
2018;01;11;8;53.07;53.07;
2018;01;11;9;57.22;57.22;
2018;01;11;10;59.02;59.02;
2018;01;11;11;57.58;57.58;
2018;01;11;12;57.45;57.45;
2018;01;11;13;54.61;54.61;
2018;01;11;14;54.83;54.83;
2018;01;11;15;54.74;54.74;
2018;01;11;16;54.01;54.01;
2018;01;11;17;54.96;54.96;
2018;01;11;18;57.47;57.47;
2018;01;11;19;57.83;57.83;
2018;01;11;20;59.08;59.08;
2018;01;11;21;63.03;63.03;
2018;01;11;22;62.55;62.55;
2018;01;11;23;58.17;58.17;
2018;01;11;24;57.58;57.58;
2018;01;12;1;55.57;55.57;
2018;01;12;2;49;49;
2018;01;12;3;46.15;46.15;
2018;01;12;4;46.01;46.01;
2018;01;12;5;46.13;46.13;
2018;01;12;6;47.29;47.29;
2018;01;12;7;56;56;
2018;01;12;8;61.97;61.97;
2018;01;12;9;66.58;66.58;
2018;01;12;10;66.89;66.89;
2018;01;12;11;67.19;67.19;
2018;01;12;12;66.34;66.34;
2018;01;12;13;63.82;63.82;
2018;01;12;14;63.86;63.86;
2018;01;12;15;61.59;61.59;
2018;01;12;16;61.58;61.58;
2018;01;12;17;61.59;61.59;
2018;01;12;18;61.97;61.97;
2018;01;12;19;66.36;66.36;
2018;01;12;20;66.89;66.89;
2018;01;12;21;66.89;66.89;
2018;01;12;22;66.16;66.16;
2018;01;12;23;63.57;63.57;
2018;01;12;24;61.59;61.59;
2018;01;13;1;56.02;56.02;
2018;01;13;2;48.14;48.14;
2018;01;13;3;46.6;46.6;
2018;01;13;4;46.1;46.1;
2018;01;13;5;46.2;46.2;
2018;01;13;6;46.6;46.6;
2018;01;13;7;47.13;47.13;
2018;01;13;8;50.05;50.05;
2018;01;13;9;50.98;50.98;
2018;01;13;10;58.16;58.16;
2018;01;13;11;60.76;60.76;
2018;01;13;12;60.5;60.5;
2018;01;13;13;59.5;59.5;
2018;01;13;14;59.07;59.07;
2018;01;13;15;58.7;58.7;
2018;01;13;16;55.57;55.57;
2018;01;13;17;54.99;54.99;
2018;01;13;18;56.01;56.01;
2018;01;13;19;61;61;
2018;01;13;20;61.97;61.97;
2018;01;13;21;63.82;63.82;
2018;01;13;22;62.11;62.11;
2018;01;13;23;59.54;59.54;
2018;01;13;24;58.15;58.15;
2018;01;14;1;48.7;48.7;
2018;01;14;2;45.27;45.27;
2018;01;14;3;43.92;43.92;
2018;01;14;4;42.1;42.1;
2018;01;14;5;42.09;42.09;
2018;01;14;6;42.1;42.1;
2018;01;14;7;43.92;43.92;
