year;month;day;hora;marginalPT;marginalES
2018;05;08;24;54.01;54.01
2018;05;09;1;56.47;56.47
2018;05;09;2;55.94;55.94
2018;05;09;3;52.46;52.46
2018;05;09;4;51.97;51.97
2018;05;09;5;51.97;51.97
2018;05;09;6;53.1;53.1
2018;05;09;7;56.95;56.95
2018;05;09;8;58.58;58.58
2018;05;09;9;58.5;58.5
2018;05;09;10;58.75;58.75
2018;05;09;11;58.55;58.55
2018;05;09;12;57.69;57.69
2018;05;09;13;58.44;58.44
2018;05;09;14;58;58
2018;05;09;15;57.09;57.09
2018;05;09;16;56.95;56.95
2018;05;09;17;56.47;56.47
2018;05;09;18;55.6;55.6
2018;05;09;19;53.36;53.36
2018;05;09;20;52.87;52.87
2018;05;09;21;56;56
2018;05;09;22;57.69;57.69
2018;05;09;23;55.6;55.6
2018;05;09;24;48.26;48.26
2018;05;10;1;45.6;45.6
2018;05;10;2;42.88;42.88
2018;05;10;3;38.95;38.95
2018;05;10;4;38.8;38.8
2018;05;10;5;38.8;38.8
2018;05;10;6;39;39
2018;05;10;7;44.04;44.04
2018;05;10;8;48.31;48.31
2018;05;10;9;55.01;55.01
2018;05;10;10;56.95;56.95
2018;05;10;11;56.47;56.47
2018;05;10;12;56.1;56.1
2018;05;10;13;56.95;56.95
2018;05;10;14;57.09;57.09
2018;05;10;15;58.01;58.01
2018;05;10;16;58.01;58.01
2018;05;10;17;58.44;58.44
2018;05;10;18;58.58;58.58
2018;05;10;19;57.09;57.09
2018;05;10;20;57.09;57.09
2018;05;10;21;59.99;59.99
2018;05;10;22;62.3;62.3
2018;05;10;23;61.55;61.55
2018;05;10;24;59.84;59.84
2018;05;11;1;62.19;62.19
2018;05;11;2;61.51;61.51
2018;05;11;3;60;60
2018;05;11;4;58.1;58.1
2018;05;11;5;57.09;57.09
2018;05;11;6;57.09;57.09
2018;05;11;7;58.78;58.78
2018;05;11;8;59.5;59.5
2018;05;11;9;61.26;61.26
2018;05;11;10;61.29;61.29
2018;05;11;11;60;60
2018;05;11;12;58.8;58.8
2018;05;11;13;58.58;58.58
2018;05;11;14;58.01;58.01
2018;05;11;15;57.53;57.53
2018;05;11;16;56.95;56.95
2018;05;11;17;56.95;56.95
2018;05;11;18;56.95;56.95
2018;05;11;19;57.09;57.09
2018;05;11;20;57.09;57.09
2018;05;11;21;58.12;58.12
2018;05;11;22;59.8;59.8
2018;05;11;23;58.15;58.15
2018;05;11;24;58;58
2018;05;12;1;59.13;59.13
2018;05;12;2;58.58;58.58
2018;05;12;3;57.09;57.09
2018;05;12;4;56.95;56.95
2018;05;12;5;55;55
2018;05;12;6;52.46;52.46
2018;05;12;7;51.97;51.97
2018;05;12;8;51.97;51.97
2018;05;12;9;52.46;52.46
2018;05;12;10;53.36;53.36
2018;05;12;11;50.68;50.68
2018;05;12;12;46.13;46.13
2018;05;12;13;42.49;42.49
2018;05;12;14;38.05;38.05
2018;05;12;15;36.4;36.4
2018;05;12;16;31.09;28.07
2018;05;12;17;31.09;27.69
2018;05;12;18;32.59;26.09
2018;05;12;19;36.35;27.94
2018;05;12;20;36.35;31.99
2018;05;12;21;36.2;36.2
